Hospital,Region,PostalCode,Locality,Lat,Lng,Type
PCF Sparkletots Preschool @ Tanjong Pagar-Tiong Bahru Blk 1E (KN),Central,85501,"1E, Cantoment Road",1.280168,103.830098,Childcare
Artskidz Preschool,Central,88702,"10, Raeburn Park",1.273353,103.831106,Childcare
PCF Sparkletots Preschool @ Telok Blangah Blk 78A (DS),Central,101078,"78A, Telok Blangah Street 32",1.273317,103.809226,Childcare
Nanyang Children School,Central,102078,"78B, Telok Blangah Street 32",1.273680,103.808951,Childcare
Bethesda (Depot Walk) Kindergarten,Central,109590,"10, Depot Walk",1.281884,103.814121,Childcare
House on the Hill Montessori Pre-School,Central,118733,"396, Pasir Panjang Road",1.278017,103.787244,Childcare
Little Seeds Preschool @ Pasir Panjang Hill Brethren Church,Central,118827,"3, Pasir Panjang Hill",1.280450,103.783539,Childcare
Chengzhu Mandarin Kindergarten,Central,138639,"35, Rochester Drive",1.305875,103.785777,Childcare
PCF Sparkletots Preschool @ Buona Vista Blk 54 (DS),Central,142054,"54, Commonwealth Drive",1.301484,103.794676,Childcare
Damien Centre Kindergarten,Central,149603,"1, Commonwealth Drive",1.295101,103.796640,Childcare
Faith Kindergarten,Central,149604,"400, Commonwealth Drive",1.302621,103.795338,Childcare
PCF Sparkletots Preschool @ Queenstown Blk 3 (KN),Central,150003,"3, Jalan Bukit Merah",1.287024,103.804587,Childcare
PCF Sparkletots Preschool @ Radin Mas Blk 70A (KN),Central,151070,"70A, Redhill Close",1.274621,103.820645,Childcare
PCF Sparkletots Preschool @ Henderson-Dawson Blk 124A (KN),Central,151124,"124A, Bukit Merah View",1.285072,103.820661,Childcare
Rainbow Cove Montessori,Central,159948,"354, Alexandra Road",1.274225,103.799197,Childcare
Alexandra Hospital,Central,159964,"378, Alexandra Rd",1.286600,103.801300,Hospital
Repton Schoolhouse,Central,159971,"321, Alexandra Road",1.287315,103.803039,Childcare
PCF Sparkletots Preschool @ Tanjong Pagar-Tiong Bahru Blk 130 (KN),Central,160130,"130, Kim Tian Road",1.278380,103.831038,Childcare
Chinese Kindergarten,Central,169053,"256, Outram Road",1.285749,103.833736,Childcare
Raffles Hospital,Central,188770,"585, North Bridge Rd",1.301200,103.857300,Hospital
PCF Sparkletots Preschool @ Kampong Glam Blk 462 (KN),Central,190462,"462, Crawford Lane",1.304635,103.859016,Childcare
PCF Sparkletots Preschool @ Moulmein-Cairnhill Blk 10 (DS),Central,210010,"10, Gloucester Road",1.313886,103.849950,Childcare
Farrer Park Hospital,Central,217562,"1, Farrer Park Station Road",1.313100,103.854200,Hospital
Mount Elizabeth Hospital,Central,228501,"3, Mount Elizabeth",1.305600,103.835500,Hospital
Masterminds Kindergarten,Central,229863,"204, Bukit Timah Road",1.312218,103.844192,Childcare
KK Women's and Children's Hospital,Central,229899,"100, Bukit Timah Rd",1.310700,103.846800,Hospital
Coco-Ro learning House,Central,239850,"20, Devonshire Road",1.298239,103.835736,Childcare
Grace House @ Tanglin,Central,247960,"355, Tanglin Road",1.294304,103.814128,Childcare
Wee Care Kindergarten,Central,247964,"56, Tanglin Road",1.305625,103.820751,Childcare
White Lodge Kindergarten (Phoenix Park),Central,247975,"310, Tanglin Road",1.298239,103.812645,Childcare
Gleneagles Hospital,Central,258500,"6A, Napier Road",1.307400,103.820100,Hospital
Maris Stella Kindergarten,Central,258851,"49B, Holland Road",1.308716,103.806452,Childcare
Nanyang Kindergarten,Central,268155,"118, King's Road",1.317952,103.803595,Childcare
Bibinogs Preschool K.A.,Central,269695,"559, Bukit Timah Road",1.322853,103.811154,Childcare
PCF Sparkletots Preschool @ Buona Vista Blk 4 (DS),Central,271004,"4, Holland Close",1.307972,103.793583,Childcare
Montessori Children's House Kindergarten,Central,278685,"886, Old Holland Road",1.332144,103.788512,Childcare
Little Ones Kindergarten,Central,278886,"58, Holland Grove Drive",1.313989,103.777835,Childcare
Blue House International School,Central,287988,"2, Turf Club Road",1.336123,103.794403,Childcare
Kizroo Kindergarten,Central,287994,"200, Turf Club Road",1.338441,103.791078,Childcare
Swallows And Amazons Kindergarten,Central,287994,"200, Turf Club Road",1.336346,103.791825,Childcare
Grace House @ TRBK PTE LTD,Central,307584,"45, Thomson Road",1.315225,103.842518,Childcare
GUG The Kindergarten,Central,307591,"101, Thomson Road",1.334789,103.857684,Childcare
MFC Kindergarten (Newton),Central,307970,"43, Newton Road",1.318018,103.839100,Childcare
Newton Kindergarten,Central,307995,"16, Newton Road",1.313860,103.838619,Childcare
Tan Tock Seng Hospital,Central,308433,"11, Jln Tan Tock Seng",1.321300,103.845800,Hospital
Far Eastern Kindergarten,Central,309063,"9A, Gilstead Road",1.315453,103.836062,Childcare
St. James' Church Kindergarten (Gilstead),Central,309070,"25, Gilstead Road",1.316689,103.836630,Childcare
Barker Road Methodist Church Kindergarten,Central,309936,"70, Barker Road",1.318913,103.832133,Childcare
PCF Sparkletots Preschool @ Toa Payoh West-Balestier Blk 45 (DS),Central,310045,"45, Lorong 5 Toa Payoh",1.335855,103.851537,Childcare
Jessin Kindergarten,Central,310085,"85B, Lorong 4 Toa Payoh",1.336276,103.846420,Childcare
PCF Sparkletots Preschool @ Toa Payoh Central Blk 97 (KN),Central,310097,"97, Lorong 3 Toa Payoh",1.332078,103.857422,Childcare
PCF Sparkletots Preschool @ Toa Payoh Central Blk 157 (KN),Central,310157,"157, Lorong 1 Toa Payoh",1.332280,103.843304,Childcare
Marymount Kindergarten,Central,319253,"9, Toa Payoh Lorong 8",1.340601,103.854905,Childcare
Toa Payoh Methodist Church Kindergarten,Central,319641,"480, Lorong 2 Toa Payoh",1.334064,103.844260,Childcare
Brainfit School House Pte. Ltd.,Central,329983,"18, Ah Hood Road",1.327025,103.844277,Childcare
